label,value
The Declaration of Independence of the United States of America,1
"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",2
John F. Kennedy's Inaugural Address,3
"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",4
The United States Constitution,5
Give Me Liberty or Give Me Death,6
The Mayflower Compact,7
Abraham Lincoln's Second Inaugural Address,8
Abraham Lincoln's First Inaugural Address,9
The King James Version of the Bible,10
Alice's Adventures in Wonderland,11
Through the Looking-Glass,12
The Hunting of the Snark: An Agony in Eight Fits,13
The 1990 CIA World Factbook,14
Moby Dick,15
"The Book of Mormon
An Account Written by the Hand of Mormon Upon Plates Taken from the Plates of Nephi",17
The Federalist Papers,18
The Song of Hiawatha,19
Paradise Lost,20
"Aesop's Fables
Translated by George Fyler Townsend",21
Roget's Thesaurus,22
"Narrative of the Life of Frederick Douglass, an American Slave",23
O Pioneers!,24
The 1991 CIA World Factbook,25
Far from the Madding Crowd,27
Aesop's Fables,28
The 1990 United States Census,29
"The Bible, King James Version, Complete",30
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,31
Herland,32
The Scarlet Letter,33
The Time Machine,35
The War of the Worlds,36
The 1990 United States Census [2nd],37
"The Jargon File, Version 2.9.10, 01 Jul 1992",38
The Legend of Sleepy Hollow,41
The Strange Case of Dr. Jekyll and Mr. Hyde,42
The Song of the Lark,44
Anne of Green Gables,45
A Christmas Carol in Prose; Being a Ghost Story of Christmas,46
Anne of Avonlea,47
The 1992 CIA World Factbook,48
Pi,50
Anne of the Island,51
The Square Root of 2,52
"Workshop on Electronic Texts: Proceedings, 9-10 June 1992",53
The Marvelous Land of Oz,54
The Wonderful Wizard of Oz,55
Aladdin and the Magic Lamp,57
Paradise Regained,58
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,59
The Scarlet Pimpernel,60
The Communist Manifesto,61
A Princess of Mars,62
"The Number ""e""",63
The Gods of Mars,64
"The First 100,000 Prime Numbers",65
Warlord of Mars,68
"The 32nd Mersenne Prime
Predicted by Mersenne",69
What Is Man? and Other Essays,70
On the Duty of Civil Disobedience,71
"Thuvia, Maid of Mars",72
The Red Badge of Courage: An Episode of the American Civil War,73
The Adventures of Tom Sawyer,74
Adventures of Huckleberry Finn,76
The House of the Seven Gables,77
Tarzan of the Apes,78
The Return of Tarzan,81
Ivanhoe: A Romance,82
"From the Earth to the Moon; and, Round the Moon",83
"Frankenstein; Or, The Modern Prometheus",84
The Beasts of Tarzan,85
A Connecticut Yankee in King Arthur's Court,86
The 1993 CIA World Factbook,87
Price/Cost Indexes from 1875 to 1989; Estimated to 2010,88
"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",89
The Son of Tarzan,90
Tom Sawyer Abroad,91
Tarzan and the Jewels of Opar,92
"Tom Sawyer, Detective",93
Alexander's Bridge,94
The Prisoner of Zenda,95
The Monster Men,96
Flatland: A Romance of Many Dimensions,97
A Tale of Two Cities,98
Collected Articles of Frederick Douglass,99
The Tragedy of Pudd'nhead Wilson,102
Around the World in Eighty Days,103
"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933",104
Persuasion,105
Jungle Tales of Tarzan,106
The Return of Sherlock Holmes,108
"Renascence, and Other Poems",109
Tess of the d'Urbervilles: A Pure Woman,110
Freckles,111
The Secret Garden,113
The Tenniel Illustrations for Carroll's Alice in Wonderland,114
United States Census Figures Back to 1630,115
A Tramp Abroad,119
Treasure Island,120
Northanger Abbey,121
The Return of the Native,122
At the Earth's Core,123
"Deuterocanonical Books of the Bible
Apocrypha",124
A Girl of the Limberlost,125
The Poison Belt,126
"The Number ""e""",127
The Arabian Nights Entertainments,128
The Square Root of 2,129
Orthodoxy,130
"The Pilgrim's Progress from this world to that which is to come
Delivered under the similitude of a dream, by John Bunyan",131
The Art of War,132
The Damnation of Theron Ware,133
"Maria; Or, The Wrongs of Woman",134
A Child's Garden of Verses,136
